Let It Happen               , Tame Impala, Currents
Nangs                       , Tame Impala, Currents
The Moment                  , Tame Impala, Currents
Yes I'm Changing            , Tame Impala, Currents
Eventually                  , Tame Impala, Currents
Gossip                      , Tame Impala, Currents
The Less I Know The Better  , Tame Impala, Currents
Past Life                   , Tame Impala, Currents
Disciples                   , Tame Impala, Currents
'Cause I'm A Man            , Tame Impala, Currents
Reality In Motion           , Tame Impala, Currents
Love/Paranoia               , Tame Impala, Currents
New Person Same Old Mistakes, Tame Impala, Currents
song1,artist1,album1
song2,artist2,album2
